SENIOR_RESIDENCE, 298, 301
SENIOR_RESIDENCE, 298, 301
HOUSEHOLD, 862, 962
HOUSEHOLD, 583, 913
HOUSEHOLD, 775, 967
HOUSEHOLD, 373, 865
HOUSEHOLD, 654, 412
HOUSEHOLD, 363, 59
HOUSEHOLD, 137, 191
HOUSEHOLD, 857, 400
HOUSEHOLD, 19, 100
HOUSEHOLD, 640, 448
HOUSEHOLD, 381, 82
HOUSEHOLD, 484, 377
HOUSEHOLD, 349, 241
HOUSEHOLD, 408, 488
HOUSEHOLD, 609, 694
HOUSEHOLD, 109, 374
HOUSEHOLD, 544, 998
HOUSEHOLD, 808, 526
HOUSEHOLD, 783, 187
HOUSEHOLD, 283, 882
HOUSEHOLD, 174, 224
HOUSEHOLD, 764, 870
HOUSEHOLD, 613, 555
HOUSEHOLD, 60, 972
HOUSEHOLD, 191, 307
HOUSEHOLD, 778, 895
HOUSEHOLD, 615, 211
HOUSEHOLD, 59, 238
HOUSEHOLD, 9, 418
HOUSEHOLD, 693, 148
HOUSEHOLD, 109, 829
HOUSEHOLD, 473, 796
HOUSEHOLD, 148, 579
HOUSEHOLD, 135, 487
HOUSEHOLD, 186, 727
HOUSEHOLD, 811, 689
HOUSEHOLD, 955, 417
HOUSEHOLD, 951, 176
HOUSEHOLD, 847, 967
HOUSEHOLD, 210, 25
HOUSEHOLD, 643, 343
HOUSEHOLD, 412, 642
HOUSEHOLD, 606, 611
HOUSEHOLD, 523, 703
HOUSEHOLD, 351, 763
HOUSEHOLD, 630, 640
HOUSEHOLD, 919, 331
HOUSEHOLD, 497, 90
HOUSEHOLD, 129, 425
HOUSEHOLD, 949, 340
HOUSEHOLD, 818, 490
HOUSEHOLD, 109, 913
HOUSEHOLD, 388, 617
HOUSEHOLD, 806, 629
HOUSEHOLD, 360, 530
HOUSEHOLD, 233, 858
HOUSEHOLD, 643, 251
HOUSEHOLD, 950, 374
HOUSEHOLD, 486, 756
HOUSEHOLD, 500, 404
HOUSEHOLD, 617, 279
HOUSEHOLD, 41, 397
HOUSEHOLD, 378, 720
HOUSEHOLD, 491, 493
